(((0,0),(10,1)),('F',70))
(((700,70),(10,1)),('S',4))
(((700,70),(10,-3)),('E',3))
(((700,70),(13,-3)),('S',4))
(((700,70),(13,-7)),('L',90))
(((700,70),(-13,-7)),('N',4))
(((700,70),(-13,-3)),('R',90))
(((700,70),(-13,3)),('W',3))
(((700,70),(-16,3)),('F',75))
(((-500,295),(-16,3)),('S',5))
(((-500,295),(-16,-2)),('L',90))
(((-500,295),(16,-2)),('E',1))
(((-500,295),(17,-2)),('S',4))
(((-500,295),(17,-6)),('F',98))
(((1166,-293),(17,-6)),('N',4))
(((1166,-293),(17,-2)),('R',90))
(((1166,-293),(17,2)),('S',3))
(((1166,-293),(17,-1)),('L',90))
(((1166,-293),(-17,-1)),('W',1))
(((1166,-293),(-18,-1)),('F',39))
(((464,-332),(-18,-1)),('W',2))
(((464,-332),(-20,-1)),('L',90))
(((464,-332),(20,-1)),('E',1))
(((464,-332),(21,-1)),('F',99))
(((2543,-431),(21,-1)),('S',3))
(((2543,-431),(21,-4)),('E',5))
(((2543,-431),(26,-4)),('F',63))
(((4181,-683),(26,-4)),('N',4))
(((4181,-683),(26,0)),('F',26))
(((4857,-683),(26,0)),('E',1))
(((4857,-683),(27,0)),('R',180))
(((4857,-683),(27,0)),('F',58))
(((6423,-683),(27,0)),('N',3))
(((6423,-683),(27,3)),('F',4))
(((6531,-671),(27,3)),('E',1))
(((6531,-671),(28,3)),('F',45))
(((7791,-536),(28,3)),('E',4))
(((7791,-536),(32,3)),('R',90))
(((7791,-536),(32,-3)),('E',3))
(((7791,-536),(35,-3)),('F',76))
(((10451,-764),(35,-3)),('S',1))
(((10451,-764),(35,-4)),('F',22))
(((11221,-852),(35,-4)),('R',90))
(((11221,-852),(35,4)),('N',1))
(((11221,-852),(35,5)),('W',1))
(((11221,-852),(34,5)),('F',76))
(((13805,-472),(34,5)),('W',1))
(((13805,-472),(33,5)),('N',5))
(((13805,-472),(33,10)),('E',3))
(((13805,-472),(36,10)),('L',180))
(((13805,-472),(36,10)),('S',5))
(((13805,-472),(36,5)),('F',87))
(((16937,-37),(36,5)),('W',4))
(((16937,-37),(32,5)),('L',90))
(((16937,-37),(-32,5)),('F',9))
(((16649,8),(-32,5)),('S',2))
(((16649,8),(-32,3)),('F',11))
(((16297,41),(-32,3)),('N',4))
(((16297,41),(-32,7)),('L',180))
(((16297,41),(-32,7)),('S',3))
(((16297,41),(-32,4)),('R',90))
(((16297,41),(-32,-4)),('F',92))
(((13353,-327),(-32,-4)),('L',90))
(((13353,-327),(32,-4)),('S',1))
(((13353,-327),(32,-5)),('E',4))
(((13353,-327),(36,-5)),('R',90))
(((13353,-327),(36,5)),('W',1))
(((13353,-327),(35,5)),('F',1))
(((13388,-322),(35,5)),('S',2))
(((13388,-322),(35,3)),('L',90))
(((13388,-322),(-35,3)),('F',27))
(((12443,-241),(-35,3)),('N',3))
(((12443,-241),(-35,6)),('E',1))
(((12443,-241),(-34,6)),('N',1))
